종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
219550,MP한강,"1,370","-45","3.18","1,375","1,370","3,946,836","5,357,613,610","1,390","1,400","1,330","100",원(KRW),"64,596,999","88,497,888,630",
035420,NAVER,"304,000","-5,000","1.62","304,000","303,500","1,573,299","472,267,233,000","305,000","308,500","292,500","100",원(KRW),"164,263,395","49,936,072,080,000",
160550,NEW,"8,310","950","12.91","8,310","8,300","3,752,115","29,433,552,320","7,260","8,590","7,260","500",원(KRW),"27,906,106","231,899,740,860",
053290,NE능률,"2,835","55","1.98","2,840","2,835","96,444","273,390,935","2,760","2,880","2,760","500",원(KRW),"16,526,307","46,852,080,345",
181710,NHN,"76,200","300","0.40","76,200","76,100","114,581","8,677,285,900","75,900","76,500","74,700","500",원(KRW),"19,565,025","1,490,854,905,000",
104200,NHN벅스,"4,945","-225","4.35","4,970","4,945","81,444","407,286,625","5,240","5,240","4,900","500",원(KRW),"14,827,550","73,322,234,750",
060250,NHN한국사이버결제,"64,300","-1,500","2.28","64,400","64,300","141,348","9,145,392,700","65,100","65,700","63,600","500",원(KRW),"22,971,393","1,477,060,569,900",
005940,NH투자증권,"11,950","-450","3.63","12,000","11,950","2,948,374","35,412,960,800","12,350","12,400","11,700","5,000",원(KRW),"281,408,887","3,362,836,199,650",
005945,NH투자증권우,"8,610","-140","1.60","8,620","8,610","144,951","1,253,116,790","8,780","8,800","8,520","5,000",원(KRW),"18,870,968","162,479,034,480",
338100,NH프라임리츠,"4,205","-15","0.36","4,205","4,200","139,529","587,479,470","4,220","4,250","4,200","500",원(KRW),"18,660,000","78,465,300,000",
034310,NICE,"18,500","50","0.27","18,500","18,450","99,090","1,823,172,750","18,550","18,550","18,250","500",원(KRW),"37,882,300","700,822,550,000",
030190,NICE평가정보,"23,950","-400","1.64","23,950","23,900","202,974","4,884,586,500","23,900","24,750","23,750","500",원(KRW),"60,714,820","1,454,119,939,000",
008260,NI스틸,"3,020","190","6.71","3,020","3,015","24,325,658","78,519,708,620","2,900","3,450","2,900","500",원(KRW),"28,600,117","86,372,353,340",
004250,NPC,"3,270","30","0.93","3,270","3,240","64,649","210,187,085","3,245","3,290","3,220","500",원(KRW),"36,720,000","120,074,400,000",
004255,NPC우,"2,235","-5","0.22","2,235","2,230","6,381","14,237,565","2,215","2,250","2,215","500",원(KRW),"5,280,000","11,800,800,000",
010060,OCI,"103,000","-4,000","3.74","103,500","103,000","493,111","51,051,631,000","104,000","107,000","100,000","5,000",원(KRW),"23,849,371","2,456,485,213,000",
078590,OQP,"5,930","350","6.27","5,930","5,920","2,422,147","14,200,889,680","5,610","6,000","5,570","200",원(KRW),"78,724,637","466,837,097,410",
178920,PI첨단소재,"38,600","1,200","3.21","38,650","38,600","1,583,489","62,102,091,250","39,400","40,200","38,050","500",원(KRW),"29,366,322","1,133,540,029,200",
024940,PN풍년,"3,920","-30","0.76","3,920","3,915","92,815","360,397,195","3,945","3,950","3,775","500",원(KRW),"10,000,000","39,200,000,000",
005490,POSCO,"277,000","-7,000","2.46","277,500","277,000","615,637","170,200,048,000","281,000","281,500","271,000","5,000",원(KRW),"87,186,835","24,150,753,295,000",
218410,RFHIC,"47,200","200","0.43","47,250","47,200","444,979","20,709,226,450","46,650","47,650","45,500","500",원(KRW),"23,847,620","1,125,607,664,000",
091340,S&K폴리텍,"5,230","150","2.95","5,230","5,220","208,973","1,088,722,390","5,050","5,330","5,000","500",원(KRW),"11,703,721","61,210,460,830",
100840,S&TC,"15,600","50","0.32","15,600","15,550","21,542","333,365,950","15,350","15,600","15,350","500",원(KRW),"7,506,711","117,104,691,600",
064960,S&T모티브,"54,800","-3,800","6.48","54,800","54,700","276,852","15,177,388,100","57,700","57,700","53,000","5,000",원(KRW),"14,623,136","801,347,852,800",
003570,S&T중공업,"6,040","10","0.17","6,050","6,040","108,002","647,914,740","5,990","6,040","5,940","2,500",원(KRW),"33,252,697","200,846,289,880",
036530,S&T홀딩스,"14,700","0","0.00","14,700","14,650","38,546","565,326,500","14,850","15,050","14,400","500",원(KRW),"16,303,886","239,667,124,200",
010950,S-Oil,"75,100","2,100","2.88","75,200","75,100","1,351,984","101,496,513,700","73,400","77,500","72,600","2,500",원(KRW),"112,582,792","8,454,967,679,200",
010955,S-Oil우,"41,000","950","2.37","41,000","40,950","37,756","1,548,667,650","39,850","41,800","39,850","2,500",원(KRW),"4,021,927","164,899,007,000",
019550,SBI인베스트먼트,"1,300","0","0.00","1,305","1,300","8,945,592","11,756,125,850","1,290","1,360","1,270","500",원(KRW),"162,066,575","210,686,547,500",
950110,SBI핀테크솔루션즈,"7,970","50","0.63","8,000","7,970","38,113","300,406,450","7,880","8,020","7,810","0",일본엔(JPY),"24,048,040","191,662,878,800",
034120,SBS,"26,100","2,450","10.36","26,100","26,000","283,956","6,999,173,700","23,700","26,100","23,150","5,000",원(KRW),"18,252,582","476,392,390,200",
101060,SBS미디어홀딩스,"1,885","25","1.34","1,885","1,880","94,243","175,952,460","1,860","1,895","1,835","500",원(KRW),"139,896,190","263,704,318,150",
046140,SBS콘텐츠허브,"6,440","40","0.63","6,450","6,440","97,919","623,556,330","6,410","6,530","6,280","500",원(KRW),"21,463,555","138,225,294,200",
036120,SCI평가정보,"4,245","-35","0.82","4,245","4,240","322,582","1,367,002,745","4,210","4,280","4,200","500",원(KRW),"35,500,000","150,697,500,000",
099220,SDN,"3,705","45","1.23","3,710","3,705","1,049,700","3,875,227,660","3,610","3,765","3,600","500",원(KRW),"48,178,714","178,502,135,370",
036540,SFA반도체,"5,610","-70","1.23","5,640","5,610","3,354,832","19,023,800,000","5,690","5,780","5,530","500",원(KRW),"164,460,303","922,622,299,830",
255220,SG,"2,170","20","0.93","2,170","2,165","141,783","307,858,885","2,130","2,220","2,110","100",원(KRW),"36,720,027","79,682,458,590",
040610,SG&G,"2,290","-80","3.38","2,290","2,285","1,076,762","2,488,890,625","2,315","2,375","2,265","500",원(KRW),"34,087,196","78,059,678,840",
049470,SGA,"845","32","3.94","845","844","373,086","311,876,142","814","865","804","1,000",원(KRW),"48,812,249","41,246,350,405",
184230,SGA솔루션즈,"1,020","10","0.99","1,020","1,015","258,394","261,793,296","1,010","1,035","998","100",원(KRW),"36,676,033","37,409,553,660",
224880,SGA클라우드서비스,"2,960","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"5,418,165","16,037,768,400",
005090,SGC에너지,"39,400","-1,300","3.19","39,450","39,400","177,927","7,022,797,200","40,150","40,450","38,700","5,000",원(KRW),"14,677,004","578,273,957,600",
016250,SGC이테크건설,"55,500","2,100","3.93","55,500","55,000","27,087","1,494,813,800","53,100","57,300","52,400","5,000",원(KRW),"1,581,383","87,766,756,500",
004060,SG세계물산,"622","1","0.16","622","620","1,280,939","799,320,253","621","635","612","500",원(KRW),"202,424,960","125,908,325,120",
001380,SG충방,"2,265","15","0.67","2,275","2,265","1,060,044","2,411,928,950","2,220","2,325","2,210","500",원(KRW),"44,964,143","101,843,783,895",
002360,SH에너지화학,"988","-52","5.00","989","988","8,757,313","8,766,845,983","1,040","1,055","970","500",원(KRW),"111,133,730","109,800,125,240",
009160,SIMPAC,"2,665","-10","0.37","2,670","2,665","289,312","763,124,225","2,680","2,695","2,580","500",원(KRW),"65,429,516","174,369,660,140",
123700,SJM,"3,580","0","0.00","3,610","3,580","94,661","336,369,290","3,585","3,630","3,500","500",원(KRW),"15,604,898","55,865,534,840",
025530,SJM홀딩스,"3,070","-45","1.44","3,090","3,070","7,796","24,158,845","3,115","3,140","3,010","500",원(KRW),"14,934,008","45,847,404,560",
034730,SK,"281,500","-8,500","2.93","281,500","281,000","795,811","224,064,276,500","288,500","291,500","272,500","200",원(KRW),"70,360,297","19,806,423,605,500",
307070,SK4호스팩,"2,015","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"5,160,000","10,397,400,000",
337450,SK5호스팩,"2,080","0","0.00","2,080","2,075","5,768","11,968,875","2,070","2,080","2,070","100",원(KRW),"4,310,000","8,964,800,000",
340350,SK6호스팩,"2,050","20","0.99","2,055","2,050","19,157","39,204,850","2,040","2,055","2,020","100",원(KRW),"5,710,000","11,705,500,000",
011790,SKC,"100,500","-2,500","2.43","100,500","100,000","626,246","62,255,012,000","101,000","101,500","97,200","5,000",원(KRW),"37,868,298","3,805,763,949,000",
